1;abandoned;negative;en;;;
2;abused;negative;en;;;
3;abysmal;negative;en;;;
4;accused;negative;en;;;
5;addicted;negative;en;;;
6;adverse;negative;en;;;
7;afraid;negative;en;;;
8;aggravated;negative;en;;;
9;aggressive;negative;en;;;
10;alarming;negative;en;;;
11;alone;negative;en;;;
12;angry;negative;en;;;
13;anguish;negative;en;;;
14;annoy;negative;en;;;
15;annoyed;negative;en;;;
16;anxious;negative;en;;;
17;apathy;negative;en;;;
18;appalling;negative;en;;;
19;apprehensive;negative;en;;;
20;argumentative;negative;en;;;
21;artificial;negative;en;;;
22;ashamed;negative;en;;;
23;assaulted;negative;en;;;
24;at a loss;negative;en;;;
25;at risk;negative;en;;;
26;atrocious;negative;en;;;
27;attacked;negative;en;;;
28;avoided;negative;en;;;
29;awful;negative;en;;;
30;awkward;negative;en;;;
31;bad;negative;en;;;
32;badgered;negative;en;;;
33;baffled;negative;en;;;
34;banal;negative;en;;;
35;banned;negative;en;;;
36;barbed;negative;en;;;
37;barren;negative;en;;;
38;beat;negative;en;;;
39;beaten down;negative;en;;;
40;belittled;negative;en;;;
41;belligerent;negative;en;;;
42;bemoan;negative;en;;;
43;beneath;negative;en;;;
44;berated;negative;en;;;
45;betrayed;negative;en;;;
46;bitched at;negative;en;;;
47;bitter;negative;en;;;
48;bizzare;negative;en;;;
49;blacklisted;negative;en;;;
50;blackmailed;negative;en;;;
51;blamed;negative;en;;;
52;bleak;negative;en;;;
53;blown away;negative;en;;;
54;blur;negative;en;;;
55;bored;negative;en;;;
56;boring;negative;en;;;
57;bossed-around;negative;en;;;
58;bothered;negative;en;;;
59;bothersome;negative;en;;;
60;bounded;negative;en;;;
61;boxed-in;negative;en;;;
62;broken;negative;en;;;
63;bruised;negative;en;;;
64;brushed-off;negative;en;;;
65;bugged;negative;en;;;
66;bullied;negative;en;;;
67;bummed out;negative;en;;;
68;bummed;negative;en;;;
69;burdened;negative;en;;;
70;burdensome;negative;en;;;
71;burned;negative;en;;;
72;burned-out;negative;en;;;
73;caged in;negative;en;;;
74;callous;negative;en;;;
75;can't;negative;en;;;
76;careless;negative;en;;;
77;chaotic;negative;en;;;
78;chased;negative;en;;;
79;cheated on;negative;en;;;
80;cheated;negative;en;;;
81;chicken;negative;en;;;
82;claustrophobic;negative;en;;;
83;clingy;negative;en;;;
84;closed;negative;en;;;
85;clueless;negative;en;;;
86;clumsy;negative;en;;;
87;coarse;negative;en;;;
88;coaxed;negative;en;;;
89;codependent;negative;en;;;
90;coerced;negative;en;;;
91;cold;negative;en;;;
92;cold-hearted;negative;en;;;
93;collapse;negative;en;;;
94;combative;negative;en;;;
95;commanded;negative;en;;;
96;compared;negative;en;;;
97;competitive;negative;en;;;
98;compulsive;negative;en;;;
99;conceited;negative;en;;;
100;concerned;negative;en;;;
101;condescended to;negative;en;;;
102;confined;negative;en;;;
103;conflicted;negative;en;;;
104;confronted;negative;en;;;
105;confused;negative;en;;;
106;confused;negative;en;;;
107;conned;negative;en;;;
108;consumed;negative;en;;;
109;contemplative;negative;en;;;
110;contempt;negative;en;;;
111;contentious;negative;en;;;
112;contradictory;negative;en;;;
113;contrary;negative;en;;;
114;controlled;negative;en;;;
115;convicted;negative;en;;;
116;cornered;negative;en;;;
117;corralled;negative;en;;;
118;corrosive;negative;en;;;
119;corrupt;negative;en;;;
120;cowardly;negative;en;;;
121;crabby;negative;en;;;
122;cramped;negative;en;;;
123;cranky;negative;en;;;
124;crap;negative;en;;;
125;crappy;negative;en;;;
126;crazy;negative;en;;;
127;creeped out;negative;en;;;
128;creepy;negative;en;;;
129;criminal;negative;en;;;
130;critical;negative;en;;;
131;criticized;negative;en;;;
132;cross;negative;en;;;
133;crowded;negative;en;;;
134;cruddy;negative;en;;;
135;cruel;negative;en;;;
136;crummy;negative;en;;;
137;crushed;negative;en;;;
138;cry;negative;en;;;
139;cut-down;negative;en;;;
140;cut-off;negative;en;;;
141;cutting;negative;en;;;
142;cynical;negative;en;;;
143;damage;negative;en;;;
144;damaged;negative;en;;;
145;damaging;negative;en;;;
146;damned;negative;en;;;
147;dangerous;negative;en;;;
148;dark;negative;en;;;
149;dastardly;negative;en;;;
150;dazed;negative;en;;;
151;dead;negative;en;;;
152;decaying;negative;en;;;
153;deceived;negative;en;;;
154;deep;negative;en;;;
155;defamed;negative;en;;;
156;defeated;negative;en;;;
157;defective;negative;en;;;
158;defenseless;negative;en;;;
159;defensive;negative;en;;;
160;defiant;negative;en;;;
161;deficient;negative;en;;;
162;deflated;negative;en;;;
163;deformed;negative;en;;;
164;degraded;negative;en;;;
165;dehumanized;negative;en;;;
166;dejected;negative;en;;;
167;delicate;negative;en;;;
168;deluded;negative;en;;;
169;demanding;negative;en;;;
170;demeaned;negative;en;;;
171;demented;negative;en;;;
172;demotivated;negative;en;;;
173;deny;negative;en;;;
174;dependent;negative;en;;;
175;depleted;negative;en;;;
176;deplorable;negative;en;;;
177;depraved;negative;en;;;
178;depressed;negative;en;;;
179;deprived;negative;en;;;
180;deserted;negative;en;;;
181;deserving of pain/punishment;negative;en;;;
182;desolate;negative;en;;;
183;despair;negative;en;;;
184;despairing;negative;en;;;
185;desperate;negative;en;;;
186;despicable;negative;en;;;
187;despicable;negative;en;;;
188;despised;negative;en;;;
189;destroyed;negative;en;;;
190;destructive;negative;en;;;
191;detached;negative;en;;;
192;detest;negative;en;;;
193;detestable;negative;en;;;
194;detested;negative;en;;;
195;detrimental;negative;en;;;
196;devalued;negative;en;;;
197;devastated;negative;en;;;
198;deviant;negative;en;;;
199;devoid;negative;en;;;
200;diagnosed;negative;en;;;
201;dictated to;negative;en;;;
202;different;negative;en;;;
203;difficult;negative;en;;;
204;directionless;negative;en;;;
205;dirty;negative;en;;;
206;disabled;negative;en;;;
207;disagreeable;negative;en;;;
208;disappointed;negative;en;;;
209;disappointing;negative;en;;;
210;disapproved of;negative;en;;;
211;disbelieved;negative;en;;;
212;discardable;negative;en;;;
213;discarded;negative;en;;;
214;disconnected;negative;en;;;
215;discontent;negative;en;;;
216;discouraged;negative;en;;;
217;discriminated;negative;en;;;
218;disdain;negative;en;;;
219;disdainful;negative;en;;;
220;disease;negative;en;;;
221;disempowered;negative;en;;;
222;disenchanted;negative;en;;;
223;disgraced;negative;en;;;
224;disgruntled;negative;en;;;
225;disgust;negative;en;;;
226;disgusted;negative;en;;;
227;disgusting;negative;en;;;
228;disheartened;negative;en;;;
229;disheveled;negative;en;;;
230;dishonest;negative;en;;;
231;dishonorable;negative;en;;;
232;disillusioned;negative;en;;;
233;dislike;negative;en;;;
234;disliked;negative;en;;;
235;dismal;negative;en;;;
236;dismayed;negative;en;;;
237;disorganized;negative;en;;;
238;disoriented;negative;en;;;
239;disowned;negative;en;;;
240;displeased;negative;en;;;
241;disposable;negative;en;;;
242;disregarded;negative;en;;;
243;disrespected;negative;en;;;
244;dissatisfied;negative;en;;;
245;distant;negative;en;;;
246;distracted;negative;en;;;
247;distraught;negative;en;;;
248;distress;negative;en;;;
249;distressed;negative;en;;;
250;disturbed;negative;en;;;
251;dizzy;negative;en;;;
252;dominated;negative;en;;;
253;don't;negative;en;;;
254;doomed;negative;en;;;
255;double-crossed;negative;en;;;
256;doubted;negative;en;;;
257;doubtful;negative;en;;;
258;down and out;negative;en;;;
259;down in the dumps;negative;en;;;
260;down;negative;en;;;
261;downhearted;negative;en;;;
262;downtrodden;negative;en;;;
263;drained;negative;en;;;
264;dramatic;negative;en;;;
265;dread;negative;en;;;
266;dreadful;negative;en;;;
267;dreary;negative;en;;;
268;dreary;negative;en;;;
269;dropped;negative;en;;;
270;drunk;negative;en;;;
271;dry;negative;en;;;
272;dumb;negative;en;;;
273;dumped on;negative;en;;;
274;dumped;negative;en;;;
275;duped;negative;en;;;
276;edgy;negative;en;;;
277;egocentric;negative;en;;;
278;egotistic;negative;en;;;
279;egotistical;negative;en;;;
280;elusive;negative;en;;;
281;emancipated;negative;en;;;
282;emasculated;negative;en;;;
283;embarrassed;negative;en;;;
284;emotional;negative;en;;;
285;emotionally bankrupt;negative;en;;;
286;emotionless;negative;en;;;
287;empty;negative;en;;;
288;encumbered;negative;en;;;
289;endangered;negative;en;;;
290;enraged;negative;en;;;
291;enslaved;negative;en;;;
292;entangled;negative;en;;;
293;eroding;negative;en;;;
294;evaded;negative;en;;;
295;evasive;negative;en;;;
296;evicted;negative;en;;;
297;evil;negative;en;;;
298;excessive;negative;en;;;
299;excluded;negative;en;;;
300;exhausted;negative;en;;;
301;exploited;negative;en;;;
302;exposed;negative;en;;;
303;fail;negative;en;;;
304;failful;negative;en;;;
305;fake;negative;en;;;
306;false;negative;en;;;
307;faulty;negative;en;;;
308;fear;negative;en;;;
309;fear;negative;en;;;
310;fearful;negative;en;;;
311;fed up;negative;en;;;
312;feeble;negative;en;;;
313;fight;negative;en;;;
314;filthy;negative;en;;;
315;flawed;negative;en;;;
316;forced;negative;en;;;
317;forgetful;negative;en;;;
318;forgettable;negative;en;;;
319;forgotten;negative;en;;;
320;foul;negative;en;;;
321;fragile;negative;en;;;
322;freaked out;negative;en;;;
323;frighten;negative;en;;;
324;frightened;negative;en;;;
325;frightful;negative;en;;;
326;frigid;negative;en;;;
327;frustrated;negative;en;;;
328;furious;negative;en;;;
329;gawky;negative;en;;;
330;ghastly;negative;en;;;
331;gloomy;negative;en;;;
332;glum;negative;en;;;
333;gothic;negative;en;;;
334;grave;negative;en;;;
335;greed;negative;en;;;
336;grey;negative;en;;;
337;grief;negative;en;;;
338;grim;negative;en;;;
339;grimace;negative;en;;;
340;gross;negative;en;;;
341;grossed-out;negative;en;;;
342;grotesque;negative;en;;;
343;grotesque;negative;en;;;
344;grouchy;negative;en;;;
345;grounded;negative;en;;;
346;gruesome;negative;en;;;
347;grumpy;negative;en;;;
348;guilt-tripped;negative;en;;;
349;guilty;negative;en;;;
350;haggard;negative;en;;;
351;harassed;negative;en;;;
352;hard;negative;en;;;
353;hard-hearted;negative;en;;;
354;harmful;negative;en;;;
355;hassled;negative;en;;;
356;hate;negative;en;;;
357;hate;negative;en;;;
358;hateful;negative;en;;;
359;hatred;negative;en;;;
360;haunted;negative;en;;;
361;heartbroken;negative;en;;;
362;heartless;negative;en;;;
363;heavy-hearted;negative;en;;;
364;helpless;negative;en;;;
365;hesitant;negative;en;;;
366;hideous;negative;en;;;
367;hideous;negative;en;;;
368;hindered;negative;en;;;
369;homely;negative;en;;;
370;hopeless;negative;en;;;
371;horrendous;negative;en;;;
372;horrible;negative;en;;;
373;horrified;negative;en;;;
374;horror;negative;en;;;
375;hostile;negative;en;;;
376;hostile;negative;en;;;
377;hot-tempered;negative;en;;;
378;humiliated;negative;en;;;
379;hung over;negative;en;;;
380;hung up;negative;en;;;
381;hurried;negative;en;;;
382;hurt;negative;en;;;
383;hurtful;negative;en;;;
384;hysterical;negative;en;;;
385;icky;negative;en;;;
386;idiotic;negative;en;;;
387;ignorant;negative;en;;;
388;ignore;negative;en;;;
389;ignored;negative;en;;;
390;ill;negative;en;;;
391;ill-tempered;negative;en;;;
392;imbalanced;negative;en;;;
393;immature;negative;en;;;
394;imperfect;negative;en;;;
395;imposed-upon;negative;en;;;
396;impossible;negative;en;;;
397;impotent;negative;en;;;
398;imprisoned;negative;en;;;
399;impulsive;negative;en;;;
400;in the dumps;negative;en;;;
401;in the way;negative;en;;;
402;inactive;negative;en;;;
403;inadequate;negative;en;;;
404;inane;negative;en;;;
405;incapable;negative;en;;;
406;incommunicative;negative;en;;;
407;incompatible;negative;en;;;
408;incompetent;negative;en;;;
409;incomplete;negative;en;;;
410;incorrect;negative;en;;;
411;indecisive;negative;en;;;
412;indifferent;negative;en;;;
413;indoctrinated;negative;en;;;
414;inebriated;negative;en;;;
415;ineffective;negative;en;;;
416;inefficient;negative;en;;;
417;inelegant;negative;en;;;
418;inferior;negative;en;;;
419;infernal;negative;en;;;
420;infuriated;negative;en;;;
421;inhibited;negative;en;;;
422;inhumane;negative;en;;;
423;injure;negative;en;;;
424;injured;negative;en;;;
425;injurious;negative;en;;;
426;injusticed;negative;en;;;
427;insane;negative;en;;;
428;insecure;negative;en;;;
429;insidious;negative;en;;;
430;insignificant;negative;en;;;
431;insincere;negative;en;;;
432;insipid;negative;en;;;
433;insufficient;negative;en;;;
434;insulted;negative;en;;;
435;intense;negative;en;;;
436;interrogated;negative;en;;;
437;interrupted;negative;en;;;
438;intimidated;negative;en;;;
439;intoxicated;negative;en;;;
440;invalidated;negative;en;;;
441;invisible;negative;en;;;
442;irrational;negative;en;;;
443;irritable;negative;en;;;
444;irritated;negative;en;;;
445;isolated;negative;en;;;
446;jaded;negative;en;;;
447;jealous;negative;en;;;
448;jerked around;negative;en;;;
449;joyless;negative;en;;;
450;judged;negative;en;;;
451;junky;negative;en;;;
452;kept apart;negative;en;;;
453;kept away;negative;en;;;
454;kept in;negative;en;;;
455;kept out;negative;en;;;
456;kept quiet;negative;en;;;
457;labeled;negative;en;;;
458;laughable;negative;en;;;
459;laughed at;negative;en;;;
460;lazy;negative;en;;;
461;leaned on;negative;en;;;
462;lectured to;negative;en;;;
463;left out;negative;en;;;
464;let down;negative;en;;;
465;lied about;negative;en;;;
466;lied to;negative;en;;;
467;limited;negative;en;;;
468;little;negative;en;;;
469;lonely;negative;en;;;
470;lonesome;negative;en;;;
471;longing;negative;en;;;
472;lose;negative;en;;;
473;lost;negative;en;;;
474;lousy;negative;en;;;
475;loveless;negative;en;;;
476;low;negative;en;;;
477;lumpy;negative;en;;;
478;mad;negative;en;;;
479;made fun of;negative;en;;;
480;malicious;negative;en;;;
481;man handled;negative;en;;;
482;manipulated;negative;en;;;
483;masochistic;negative;en;;;
484;mean;negative;en;;;
485;menacing;negative;en;;;
486;messed up;negative;en;;;
487;messed with;negative;en;;;
488;messy;negative;en;;;
489;miffed;negative;en;;;
490;miserable;negative;en;;;
491;misled;negative;en;;;
492;misshapen;negative;en;;;
493;missing;negative;en;;;
494;mistaken;negative;en;;;
495;mistrusted;negative;en;;;
496;misunderstood;negative;en;;;
497;mixed-up;negative;en;;;
498;moan;negative;en;;;
499;mocked;negative;en;;;
500;moldy;negative;en;;;
501;molested;negative;en;;;
502;monstrous;negative;en;;;
503;moody;negative;en;;;
504;nagged;negative;en;;;
505;naive;negative;en;;;
506;nasty;negative;en;;;
507;naughty;negative;en;;;
508;needy;negative;en;;;
509;negate;negative;en;;;
510;negative;negative;en;;;
511;nervous;negative;en;;;
512;neurotic;negative;en;;;
513;never;negative;en;;;
514;no;negative;en;;;
515;nobody;negative;en;;;
516;nonconforming;negative;en;;;
517;nondescript;negative;en;;;
518;nonsense;negative;en;;;
519;not;negative;en;;;
520;noxious;negative;en;;;
521;numb;negative;en;;;
522;nuts;negative;en;;;
523;nutty;negative;en;;;
524;objectified;negative;en;;;
525;objectionable;negative;en;;;
526;obligated;negative;en;;;
527;obsessive;negative;en;;;
528;obstructed;negative;en;;;
529;odd;negative;en;;;
530;odious;negative;en;;;
531;offended;negative;en;;;
532;offensive;negative;en;;;
533;old;negative;en;;;
534;on display;negative;en;;;
535;opposed;negative;en;;;
536;oppressed;negative;en;;;
537;oppressive;negative;en;;;
538;out of place;negative;en;;;
539;out of touch;negative;en;;;
